"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.01069957825217e-06,0.740975123869671,0.496,0.519,0.0245903207388753,"0","GSTK1"
1.010837090476e-06,0.376544336264426,0.626,0.701,0.0245936664112811,"0","PSME1"
1.16054707977042e-06,0.391890113383262,0.763,0.749,0.0282361104508144,"0","DUSP1"
1.22078334130471e-06,0.759543095036097,0.311,0.304,0.0297016586939436,"0","MBNL1"
1.29610157340032e-06,0.54788679160538,0.419,0.313,0.0315341512808298,"0","SLC2A3"
1.31317311913293e-06,0.603225576337759,0.431,0.435,0.0319495019885041,"0","VAMP2"
1.53809698105121e-06,0.331092064144006,0.247,0.386,0.0374218995489759,"0","NEU1"
1.55368771178274e-06,0.57909651710466,0.292,0.432,0.0378012220276742,"0","HSPA1A"
1.57381161837978e-06,0.263372139358511,0.234,0.346,0.0382908366751802,"0","PRKAR1A"
1.77965534358518e-06,0.351113525763372,0.191,0.308,0.0432990145094274,"0","EMC6"
1.83854462743049e-06,0.842538341797914,0.299,0.235,0.0447317907853839,"0","EVI2B"
1.84941444381082e-06,0.869926809119731,0.462,0.451,0.0449962534179171,"0","ARL6IP5"
1.98562116221184e-06,0.32983407911769,0.235,0.352,0.048310162876614,"0","EIF2S3"
2.07459939893795e-06,0.910971980256832,0.431,0.344,0.0504750033761603,"0","GYPC"
2.37612439829559e-06,0.250100662711282,0.161,0.297,0.0578111066105317,"0","VPS51"
2.64956717071894e-06,0.287983249671318,0.232,0.375,0.0644639692635918,"0","HAX1"
2.86311229389669e-06,0.439519467257558,0.167,0.275,0.0696595221105064,"0","DAP3"
2.91259573814706e-06,0.311915738971896,0.684,0.721,0.070863454309118,"0","NDUFS5"
3.07657610187917e-06,0.276947148356751,0.816,0.847,0.0748530965587202,"0","ATP5L"
4.04644592039505e-06,0.387004102914358,0.147,0.263,0.0984500292432116,"0","ERGIC2"
4.39570958576717e-06,0.301355413454153,0.16,0.254,0.106947614221715,"0","SUPT5H"
4.41510983107481e-06,0.450959063009129,0.174,0.267,0.10741962219005,"0","DNAJA2"
4.4697196843746e-06,0.949441809929329,0.384,0.358,0.108748279920834,"0","BAZ1A"
4.4868380359997e-06,1.04160052236214,0.425,0.374,0.109164769415873,"0","ARID5B"
4.79527432362126e-06,0.42693442784957,0.314,0.206,0.116669024293705,"0","ITGB2"
5.46133459389253e-06,0.916366203415506,0.294,0.257,0.132874270669405,"0","SNRPN"
5.61101335638803e-06,0.791378695218138,0.265,0.165,0.136515954960921,"0","RUNX3"
7.51479662564059e-06,0.397204661143757,0.721,0.741,0.182835001901835,"0","SKP1"
8.80839721406623e-06,0.643573508999362,0.46,0.373,0.214308304218231,"0","RARRES3"
1.08957319156776e-05,0.371528541355151,0.195,0.33,0.265093157508437,"0","GADD45A"
1.13415340288192e-05,0.371765420874266,0.489,0.454,0.275939522921171,"0","REL"
1.31759965642519e-05,0.930727365500801,0.416,0.45,0.32057199640825,"0","NDUFV2"
1.46454041187738e-05,0.267799906987096,0.768,0.781,0.356322682209766,"0","ZFP36"
1.89294617189972e-05,0.80174676854486,0.438,0.416,0.460553803623203,"0","ABRACL"
1.97492714466563e-05,0.702927872332716,0.526,0.57,0.480499774297147,"0","ANAPC16"
2.20975383966593e-05,0.432217892579176,0.582,0.521,0.53763310919072,"0","IFITM2"
2.64769497104431e-05,0.664238486985939,0.177,0.272,0.644184186455081,"0","PMVK"
2.6665747895338e-05,1.31185328867836,0.3,0.266,0.648777646293575,"0","CARD16"
2.8729935816818e-05,0.265186767106301,0.441,0.376,0.698999338423183,"0","TUBA1A"
2.92901908421768e-05,0.311098053524709,0.16,0.262,0.712630343190162,"0","PARP1"
3.1815646085927e-05,0.306809730351108,0.219,0.344,0.774074669270605,"0","ANXA7"
3.38953509009254e-05,1.15057471541955,0.324,0.266,0.824673887419516,"0","PDCL3"
3.8482183072685e-05,0.383596973045628,0.242,0.339,0.936271514158426,"0","SRSF10"
3.88332610916642e-05,0.849502475119125,0.253,0.197,0.94481324236019,"0","FMNL1"
4.35454546936568e-05,0.494781320507409,0.177,0.26,1,"0","PMF1"
4.73132401284104e-05,0.380381674959213,0.526,0.596,1,"0","RBM8A"
5.50796898974859e-05,0.515749178782204,0.598,0.616,1,"0","YWHAB"
5.89530408202627e-05,0.31651267586357,0.154,0.25,1,"0","SNW1"
5.9797808438813e-05,0.267616856109522,0.165,0.265,1,"0","ZNRD1"
6.12042577799402e-05,0.300406859969832,0.239,0.325,1,"0","NASP"
6.14464378505541e-05,0.831369670605057,0.409,0.341,1,"0","FNBP1"
6.41283442115448e-05,0.287176013282739,0.713,0.744,1,"0","MYL12A"
7.07158726158451e-05,0.467411012942733,0.177,0.261,1,"0","ABCF1"
7.14644360723715e-05,0.309762749589922,0.179,0.258,1,"0","KPNA2"
7.24429766904015e-05,0.349304726647735,0.241,0.362,1,"0","USP16"
9.20456970421627e-05,0.273163054808927,0.156,0.263,1,"0","SDF2"
9.89751330105061e-05,0.487609026912786,0.22,0.355,1,"0","GLRX"
0.000111486117743429,0.416198569250305,0.254,0.349,1,"0","DNAJC8"
