"gene","logFC","logCPM","F","PValue","FDR","significance"
"FSTL3",4.09605142456601,3.74264074478769,53.3053720030455,5.7123950365986e-07,7.11364553907623e-05,"Up in tumor"
"NXPE1",-5.44049512968568,3.98079151313779,80.554149333615,5.82685754662485e-07,7.18434228001181e-05,"Down in tumor"
"MTHFD1L",2.7016068241893,4.04582543451437,69.3831688933167,5.9143386923099e-07,7.22071173875835e-05,"Up in tumor"
"PER2",-1.78351352393029,4.84350305050599,81.3235927209285,6.01608891715062e-07,7.27362672672589e-05,"Down in tumor"
"APOBR",-3.95649154277625,3.81693642188851,81.5510765068231,6.11347285411457e-07,7.30997645590331e-05,"Down in tumor"
"ZSWIM6",-1.8583670649924,4.13493004589556,80.6122630972967,6.21727968767376e-07,7.30997645590331e-05,"Down in tumor"
"NEURL1",-4.98073128892697,4.13656210579621,70.5325999730078,6.2254466883384e-07,7.30997645590331e-05,"Down in tumor"
"DPEP1",5.50300262339173,6.60312472889334,76.0718390910642,6.28095624172211e-07,7.30997645590331e-05,"Up in tumor"
"TPD52L2",1.745614035824,5.19181508321707,74.1215039089556,6.48622481935912e-07,7.47897756254436e-05,"Up in tumor"
"BCAS4",2.67236317983829,3.24853512618349,62.8239299839128,6.56263191244939e-07,7.49765644089287e-05,"Up in tumor"
"LGALS9C",-4.43293554424057,2.35047475580963,78.0968901699315,6.78555130301013e-07,7.65154282859818e-05,"Down in tumor"
"NR3C1",-3.12641838807549,2.34709940696258,72.3203284679063,6.8202140365727e-07,7.65154282859818e-05,"Down in tumor"
"BEST4",-7.44987966275714,6.74489352517977,75.6963454362228,6.9370174170481e-07,7.71309624058036e-05,"Down in tumor"
"C4orf19",-2.02374708204755,4.28708409273257,79.2325995075757,7.0202614860463e-07,7.73657666245439e-05,"Down in tumor"
"IFI44",4.16006237479706,3.41448255217453,60.7176533528173,7.1011843648336e-07,7.75710955221691e-05,"Up in tumor"
"FRYL",-1.57297048913463,5.25045142859883,78.7769536944178,7.27222905843144e-07,7.87487551866493e-05,"Down in tumor"
"REG1A",6.02906945207935,9.10993289534774,57.9589345861386,8.08740482674054e-07,8.61848934155946e-05,"Up in tumor"
"ADCY5",-5.21932318021507,0.882810300383792,59.2298652364232,8.09735206747336e-07,8.61848934155946e-05,"Down in tumor"
"ITLN1",-6.74555518083501,5.30569086725059,68.8337247302504,8.22026219449166e-07,8.67516314474615e-05,"Down in tumor"
"GLIPR2",-3.17003254716735,4.01779525252751,76.4414562489737,8.68317595749919e-07,9.08668825199474e-05,"Down in tumor"
"LDHA",1.61415405501779,9.18351420202888,75.8017897601895,8.92778668746171e-07,9.2225699957013e-05,"Up in tumor"
"EPHA4",-4.13542409781178,0.751348715088049,61.4520163051821,8.97453531160002e-07,9.2225699957013e-05,"Down in tumor"
"FERMT3",-3.04292316549475,2.3718404380299,67.5898570795599,9.05468892995313e-07,9.2225699957013e-05,"Down in tumor"
"TUSC3",-5.41880504997279,1.34891238745998,53.4477334987557,9.1092596922128e-07,9.2225699957013e-05,"Down in tumor"
"OTUD1",-2.4493895173042,5.27331771799712,75.4464035285125,9.26928056624354e-07,9.24863561493129e-05,"Down in tumor"
"BLVRA",3.23446074162213,3.31660872317226,51.0861779981615,9.28354173184302e-07,9.24863561493129e-05,"Up in tumor"
"RHBDL2",-3.22840574222859,3.47237944149007,75.6100920071187,9.44428215821679e-07,9.33409886637092e-05,"Down in tumor"
"NPY1R",-4.78766668942625,0.717615307884567,53.3028657215343,9.5721694339721e-07,9.38600204419327e-05,"Down in tumor"
"GPCPD1",1.86112306986817,4.4470541203941,68.4029849966679,9.75314379272262e-07,9.43832041239604e-05,"Up in tumor"
"TLN2",-2.00798614923409,3.91666554972898,74.8410215622801,9.7771085939058e-07,9.43832041239604e-05,"Down in tumor"
"MS4A12",-6.29000554891753,4.36708210738455,60.3641261894936,1.01032050615191e-06,9.67809327931514e-05,"Down in tumor"
"HSD17B2",-4.3391802880779,5.08460900526627,73.833341476358,1.05694793121661e-06,0.000100474599904125,"Down in tumor"
"SIPA1L2",-2.70205151793957,4.20052990600786,70.8549793815978,1.11240127958835e-06,0.000104534264399211,"Down in tumor"
"SPP1",4.50423177331724,3.75967607748317,57.293260738244,1.11644239661889e-06,0.000104534264399211,"Up in tumor"
"SRPX2",4.41233015517575,2.52978815572484,69.2524090872557,1.15304354305688e-06,0.000107155606281248,"Up in tumor"
"DPF3",-4.86348193056062,0.855030050305488,53.7848294922068,1.19496788053708e-06,0.00010942970545163,"Down in tumor"
"SCD",3.48629609800565,6.06310706123177,63.7844930372635,1.19508872893453e-06,0.00010942970545163,"Up in tumor"
"FEV",-7.46389084758072,1.5241463469241,78.9030210432013,1.22268282033662e-06,0.000111139190960963,"Down in tumor"
"IFI6",4.82727506784991,7.97503019807186,65.8952932603242,1.24659389961692e-06,0.000112491549506736,"Up in tumor"
"ITM2C",-2.59587240922147,9.03260234042439,71.1789209619655,1.26740138011392e-06,0.000113546398464451,"Down in tumor"
"PGK1",1.69077935442941,8.13257043965041,70.516679969369,1.34025585230764e-06,0.000119215758062765,"Up in tumor"
"TEAD4",2.34861561297541,3.63787417683064,59.6434965583487,1.3922088825981e-06,0.000122958703652441,"Up in tumor"
"PSMD14",1.36559232437977,6.1051983576855,69.8750167633496,1.41152742787643e-06,0.000123786979291164,"Up in tumor"
"STX2",3.29392755495342,1.99448665197293,45.132013503254,1.43890257781265e-06,0.000125305271339167,"Up in tumor"
"NBPF14",-2.74791255400755,4.00892837496785,68.7275020251345,1.46341010199154e-06,0.000125332558680086,"Down in tumor"
"TGFBI",5.77786214417699,6.24125285934302,62.3540320456056,1.46798681307183e-06,0.000125332558680086,"Up in tumor"
"POMP",1.26643117169557,8.73857882250379,69.3117942603895,1.46940926421686e-06,0.000125332558680086,"Up in tumor"
"LGALS9B",-4.39564894235727,2.5647238339618,63.7796848619758,1.53423897123353e-06,0.000129886843883677,"Down in tumor"
"TGM2",4.48960459551335,3.51750168510015,51.6709735579864,1.54366440976345e-06,0.000129886843883677,"Up in tumor"
